_id,job_id,job_title,job_url,company_name,salary_currency,salary,salary_min,salary_max,pretty_salary,job_description[0],job_description[1],job_description[2],job_description[3],job_description[4],job_description[5],job_description[6],job_description[7],job_description[8],job_description[9],job_description[10],job_description[11],job_description[12],job_description[13],job_description[14],job_description[15],job_description[16],job_description[17],job_description[18],job_description[19],job_description[20],job_description[21],job_description[22],job_description[23],job_description[24],job_description[25],job_description[26],job_description[27],job_description[28],job_description[29],job_description[30],job_description[31],job_description[32],job_description[33],job_description[34],job_description[35],job_description[36],job_description[37],job_description[38],job_description[39],job_description[40],job_description[41],job_description[42],job_description[43],job_description[44],job_description[45],job_description[46],job_description[47],job_description[48],job_description[49],job_description[50],job_description[51],job_description[52],job_description[53],job_description[54],job_description[55],job_description[56],job_description[57],job_description[58],job_description[59],job_description[60],job_description[61],job_description[62],job_description[63],job_description[64],job_description[65],job_description[66],job_description[67],job_description[68],job_description[69],job_description[70],job_description[71],job_requirement[0],job_requirement[1],job_requirement[2],job_requirement[3],job_requirement[4],job_requirement[5],job_requirement[6],job_requirement[7],job_requirement[8],job_requirement[9],job_requirement[10],job_requirement[11],job_requirement[12],job_requirement[13],job_requirement[14],job_requirement[15],job_requirement[16],job_requirement[17],job_requirement[18],job_requirement[19],job_requirement[20],job_requirement[21],job_requirement[22],job_requirement[23],job_requirement[24],job_requirement[25],job_requirement[26],job_requirement[27],job_requirement[28],job_requirement[29],job_requirement[30],job_requirement[31],job_requirement[32],job_requirement[33],job_requirement[34],job_requirement[35],job_requirement[36],job_requirement[37],job_requirement[38],job_requirement[39],job_requirement[40],job_requirement[41],job_requirement[42],job_requirement[43],job_requirement[44],job_requirement[45],job_requirement[46],job_requirement[47],job_requirement[48],job_requirement[49],job_requirement[50],job_requirement[51],job_requirement[52],job_requirement[53],job_requirement[54],job_requirement[55],job_requirement[56],job_requirement[57],job_requirement[58],job_requirement[59],job_requirement[60],job_requirement[61],job_requirement[62],job_requirement[63],job_requirement[64],job_requirement[65],job_requirement[66],years_of_experience,min_degree,working_locations[0],working_locations[1],working_locations[2],address,language_selected_vi,job_level_vi,created_on,approved_on,expired_on,crawl_at,industries_v3[0],industries[0],skills[0],skills[1],skills[2],skills[3],skills[4],skills[5],skills[6],skills[7],skills[8],skills[9],benefits.Thưởng,benefits.Chăm sóc sức khoẻ,benefits.Đào tạo,group_job_functions,job_functions,benefits.Nghỉ phép có lương,benefits.Khác,benefits.Cơ hội du lịch,benefits.Máy tính xách tay,benefits.Giải thưởng,benefits.Hoạt động nhóm,benefits.Xe đưa đón,benefits.Căn-tin,benefits.Điện thoại,benefits.Thư viện,benefits.Nhà trẻ,benefits.Phiếu giảm giá
6947d9dbbd1b5428d8f72065,1978922,QA Game Tester,https://www.vietnamworks.com/qa-game-tester--1978922-jv,"Nexon Networks Vina Co. Ltd,",USD,0,0,0,Thương lượng,Chúng tôi tuyển dụng Nhân viên kiểm soát chất lượng để đảm bảo chất lượng các trò chơi thông qua biện pháp kiểm tra thủ công.,Ứng viên đủ tiêu chuẩn cần có đôi mắt tinh tường và có khả năng thiết lập các tình huống kiểm tra lỗi khác nhau. Yêu thích chơi game là một lợi thế.,Ứng viên CẦN mô tả kinh nghiệm chơi Game hoặc kiến thức về Game trong CV bao gồm các tựa games mà bạn đã chơi qua.,• Vị trí: nhân viên chính thức,Mô tả công việc:,• Kiểm soát nội dung cơ bản trong game.,• Kiểm soát các chức năng có độ phức tạp khác nhau.,• Nội dung kiểm tra liên quan đến dữ liệu số.,• Báo cáo lỗi bằng cách sử dụng các công cụ theo dõi lỗi.,"• Hỗ trợ các thử nghiệm khác nhau, xem xét các kế hoạch và công việc.","Đối với ứng viên đã có kinh nghiệm, bạn được yêu cầu:",• Làm việc với nhóm Kiểm soát chất lượng ở Hàn Quốc.,• Rà soát dự án.,• Viết tình huống kiểm tra lỗi.,• Kiểm soát nội dung mới và quan trọng.,• Kiểm soát các chức năng có độ phức tạp cao,• Kiểm soát sản phẩm trả phí và tính khả thi,• Kiểm soát theo các tiêu chí đánh giá trên nền tảng iOS / Android,• Kiểm soát quá trình đối chiếu.,"• Quản lý và phân công công việc trong nhóm, đảm bảo chất lượng dự án đáp ứng thời hạn yêu cầu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YÊU CẦU CÔNG VIỆC,• Mới tốt nghiệp,• Bằng cấp: Cao Đẳng trở lên,• Ưu tiên độ tuổi từ 20 - 27,• Có kiến thức và đam mê chơi game. (Vui lòng mô tả cụ thể kinh nghiệm hoặc kiến thức game của bạn trong CV).,• Chủ động học hỏi và tiếp thu kiến thức mới.,• Thành thạo MS Office,• Kỹ năng đọc và viết tiếng Anh là một lợi thế.,"• Có tinh thần đồng đội, kỷ luật và tuân thủ các chính sách và quy định của công ty.",• Quyết tâm đem lại dịch vụ chất lượng cao cho người dùng.,Phúc lợi:,• Thời gian làm việc: 8 tiếng/ngày [9:00 - 18:00] and 5 ngày/tuần (Từ Thứ Hai đến Thứ Sáu).,• Trang phục: phù hợp với môi trường công ty,"• Cơ hội làm việc trong các dự án toàn cầu với các nhóm đa văn hóa, các trò chơi đẳng cấp thế giới",• Mức lương và chế độ đãi ngộ hấp dẫn,• Môi trường làm việc chuyên nghiệp,• Lương tháng 13 hằng năm ít nhất 1 tháng lương,"• Phụ cấp ăn trưa, tiền ăn khi tăng ca.",• Hỗ trợ xe Grab đưa đón khi làm thêm giờ.,• Đóng Bảo hiểm xã hội và thanh toán làm thêm giờ (OT) theo quy định của Việt Nam.,• Đánh giá lương hàng năm dựa trên hiệu suất làm việc của nhân viên và thành công của công ty,"• Du lịch công ty hàng năm, Tiệc cuối năm, Sinh nhật, Lễ hội trăng rằm, Năm mới ...","• Văn hóa mở, nơi mọi nhân viên đều được coi trọng, đối xử công bằng và tin tưởng.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Cao đẳng,Hồ Chí Minh,,,"UOA Tower, 6 Tan Trao Street, Tan Phu Ward, District 7, HCMC, Vietnam",Bất kỳ,Nhân viên,2025-11-06T16:07:05+07:00,2025-12-08T10:58:29+07:00,2026-01-07T23:59:59+07:00,1766311865.1200197,Phần Mềm CNTT/Dịch vụ Phần mềm,Phần Mềm CNTT/Dịch vụ Phần mềm,Game Testing,Quality Assurance,Manual Testing,English,Test Cases,,,,,,"From 12 days Annual leave, 13th month salary",Support lunch fee and premium health care,"Team building, Activities, Training sessions",Công Nghệ Thông Tin/Viễn Thông,QA/QC/Software Testing,,,,,,,,,,,,
6947d9dbbd1b5428d8f72066,1973440,Data and Analytics Supervisor,https://www.vietnamworks.com/data-and-analytics-supervisor-1973440-jv,"Amway Vietnam Co., Ltd.",USD,0,0,0,Thương lượng,1. Business Performance Review and Analysis,"• Collect, analyze, and centralize business data from multiple sources to support performance monitoring and decision-making.","• Develop efficient methods to extract, query, and visualize data from core systems, ensuring accuracy and readability for analysis purposes.",• Prepare regular performance reports and presentation decks that deliver a comprehensive overview and actionable insights tailored to different audiences.,• Provide analytical support for deep-dive studies and business innovation initiatives.,2. Consumer & Market Research,"• Assist in coordinating with external research agencies to execute consumer studies, analyze findings, and develop actionable recommendations for business growth.","• Support internal surveys and research projects to gain insights into distributor behaviors, motivations, and needs.","• Conduct desk research to compile market trends, competitive intelligence, and industry benchmarks as required.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"• A business-acumen mindset with 5+ years of experience in business analysis, sales performance, or consumer insight analytics","• Bachelor’s degree or higher in Economics, Data Science, Information Systems, or other Business-related fields",• Proficient in GCP/MySQL and experienced in Power BI dashboard development,"• Strong ability to analyze data, generate insights, and visualize findings to support decision-making","• Skilled in cross-functional project management and developing clear, impactful presentations",• Excellent communication skills in both English and Vietnamese;,"• Strong sense of adaptability, analytical thinking, and resilience under pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Cử nhân,Hồ Chí Minh,,,"HCMC AMWAY CENTER - 410B,C,D Nguyễn Thị Minh Khai, Phường 5, Quận 3, HCMC",Tiếng Anh,Nhân viên,2025-10-23T16:30:36+07:00,2025-11-24T10:33:36+07:00,2025-12-24T23:59:59+07:00,1766311868.7763243,Hàng tiêu dùng,Hàng tiêu dùng,Data Analysis,Power BI,SQL,Business Intelligence,Commercial Analysis,,,,,,13th Month + Annual Performance Bonus,Premium Healthcare Insurance for Employee & Family member(s),Personal Development and Career Advancement,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,,,,,,,,,,,,
6947d9dbbd1b5428d8f72067,1986704,AI Engineer (Computer Vision/NPL/LLM) - Khối Công nghệ thông tin (HOLT.13),https://www.vietnamworks.com/ai-engineer-computer-visionnplllm-khoi-cong-nghe-thong-tin-holt-13-1986704-jv,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,USD,0,0,0,Thương lượng,"• Phát triển, ứng dụng, tối ưu, tích hợp mô hình AI cho các bài toán ứng dụng trong hoạt động Kinh doanh/Ngân hàng về các lĩnh vực Computer Vision, NLP...","• Tham gia vào các công đoạn triển khai dịch vụ: Kiến trúc hệ thống, thiết kế mô hình hoạt động, luồng hoạt động, chức năng, tối ưu performance","• Coding, test metrics, service và unittest theo mô hình DevOps, MLOps","• Nghiên cứu, tìm hiểu các bài báo khoa học mới nhất về AI, ML, DL",• Với nhóm ứng viên là sinh viên tài năng và fresher: tham gia các chương trình đào tạo và dự án dành cho Trainee để phát triển lên các vị trí chính thức.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tốt nghiệp Đại học các chuyên ngành: Công nghệ thông tin, Khoa học máy tính, Điện tử viễn thông, Công nghệ phần mềm, Hệ thống thông tin....",Có kiến thức và kỹ năng về MỘT TRONG NHỮNG nội dung sau:,"• Ngôn ngữ lập trình Python, C/C++",• Service/MicroService với một trong các framework FastAPI/Flask/Django,• Tensorflow/Pytorch/DGL/PyG/Onnx,"• API (Restful/gRPC), Lập trình an toàn, đảm bảo & tối ưu hiệu năng","• Git và Git Flow, Docker/ Kubernete, Kubeflow/MLFlow, TritonServer/ Tensorflow Serving","• Các dạng bài toán Supervised learning, Reinforcement learning",• Xử lý Ảnh (Computer Vision)/Video/Âm thanh/Ngôn ngữ tự nhiên (NLP),"• CNN/RNN/Transformer/Attention, SVM/KNN/Clustering, GNN vv...","• Kỹ thuật Knowledge Distiller/ Model Prune, Model Quantization",MB Bank yêu cầu ứng viên ứng tuyển cần cung cấp chi tiết các thông tin sau:,"- Thông tin cá nhân: Họ và tên, Ngày tháng năm sinh, Giới tính",- Số điện thoại và Email liên hệ,"- Trình độ học vấn, Trường đã tốt nghiệp",- Kinh nghiệm làm việc,- Từ 3 - 5 kỹ năng nổi bật,- Nguồn Tuyển dụng,Vì sao Bạn cần đảm bảo thông tin khi ứng tuyển?,- Hồ sơ của Bạn sẽ được đánh giá nhanh chóng.,- Ứng viên vui lòng kiểm tra email và điện thoại thường xuyên để không bỏ lỡ lịch hẹn phỏng vấn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Hà Nội,,,"19th – MB Building, No. 18 Le Van Luong Street, Yen Hoa Ward, Hanoi City",Bất kỳ,Mới Tốt Nghiệp,2025-11-27T16:00:21+07:00,2025-11-27T16:01:02+07:00,2025-12-27T23:59:59+07:00,1766311873.6877823,Ngân hàng,Ngân hàng,C/C++,Computer Vision,NLP,Python,TensorFlow,,,,,,.,,,Công Nghệ Thông Tin/Viễn Thông,Data Engineer/Data Analyst/AI,,,,,,,,,,,,
6947d9dbbd1b5428d8f72068,1986707,"FullStack Developer (Junior, Senior) - Khối Công nghệ thông tin (HOLT.04)",https://www.vietnamworks.com/fullstack-developer-junior-senior-khoi-cong-nghe-thong-tin-holt-04-1986707-jv,Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,USD,0,0,0,Thương lượng,"• Phát triển các hệ thống của MBBank, gồm các nền tảng nội bộ và ứng dụng dành cho khách hàng với quy mô 30 triệu khách hàng cá nhân và 300.000 khách hàng doanh nghiệp - đứng đầu Việt Nam về quy mô phục vụ","• Quản lý, phát triển dịch vụ tích hợp với các hệ thống core banking như: T24, WAY4, BPM, CRM, CIC ...","• Quản lý, phát triển API trên API Gateway phục vụ tích hợp với các đối tác trong nước và quốc tế.","• Nghiên cứu, thử nghiệm, triển khai áp dụng các xu hướng công nghệ mới vào hoạt động phát triển: GraphQL, Docker Container (K8s), CICD, EventSourcing, CQRS, NoSQL ...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Hà Nội,,,"19th – MB Building, No. 18 Le Van Luong Street, Yen Hoa Ward, Hanoi City",Bất kỳ,Nhân viên,2025-11-27T16:03:40+07:00,2025-11-27T16:04:08+07:00,2025-12-27T23:59:59+07:00,1766311879.095584,Ngân hàng,Ngân hàng,Java,Java,MongoDB,Oracle,PostgreSQL,Spring Core,,,,,.,,,Công Nghệ Thông Tin/Viễn Thông,Phần Mềm Máy Tính,,,,,,,,,,,,
6947d9dbbd1b5428d8f72069,1985212,Nhân Viên IT,https://www.vietnamworks.com/nhan-vien-it-1985212-jv,Công Ty TNHH Đường Biển Container Sinotrans (Hải Nam),VND,15000000,13000000,15000000,13tr-15tr ₫/tháng,CÔNG TY TNHH ĐƯỜNG BIỂN CONTAINER SINOTRANS (HẢI NAM) tuyển nhân sự làm việc tại Việt Nam cho công ty đại lý,"• Quản lý, bảo trì, nâng cấp hệ thống mạng, server, máy chủ và máy tính nội bộ.","• Hỗ trợ cài đặt, cấu hình phần mềm, ứng dụng logistics và các phần mềm văn phòng.","• Quản lý hệ thống ERP, WMS, TMS (nếu có) và các phần mềm quản lý kho – vận tải.","• Hỗ trợ xử lý sự cố phần cứng, phần mềm, hệ thống mạng nội bộ.","• Quản lý user, phân quyền truy cập hệ thống, bảo mật dữ liệu.",• Đảm bảo sao lưu dữ liệu định kỳ và khôi phục khi cần thiết.,• Hỗ trợ nhân viên trong các vấn đề IT và đào tạo sử dụng phần mềm nội bộ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Hải Phòng,,,Hải Phòng và Hồ Chí Minh,Bất kỳ,Nhân viên,2025-11-24T16:19:49+07:00,2025-11-24T16:20:02+07:00,2025-12-24T23:59:59+07:00,1766311884.9433138,Hậu cần/Giao nhận,Hậu cần/Giao nhận,ERP,Phân Tích Sự Cố,Quản Trị Mạng,Quản Trị Server,Server Management,,,,,,Thưởng 30/04 1/5 và 02/09. Thưởng tháng lương tháng 13.,Khám sức khoẻ theo quy chế công ty.,,Công Nghệ Thông Tin/Viễn Thông,IT Support/Help Desk,Chế độ nghỉ phép theo luật.,"Phụ cấp ăn trưa, điện thoại xăng xe và chế độ phúc lợi du lịch.\r\nMôi trường làm việc thân thiện, chuyên nghiệp.",,,,,,,,,,
6947d9dbbd1b5428d8f7206a,1991203,Kỹ Sư Tích Hợp Hệ Thống,https://www.vietnamworks.com/ky-su-tich-hop-he-thong--1991203-jv,Trường Đại Học CMC,USD,0,0,0,Thương lượng,"• Phân tích nghiệp vụ, thu thập yêu cầu từ các đơn vị phòng ban trong Trường;","• Nghiên cứu, triển khai các dịch vụ tích hợp của Trường trên nền tảng số, tích hợp nghiệp vụ với các đối tác (ngân hàng, tài chính, cổng dịch vụ,…);","• Hỗ trợ triển khai ứng dụng và dịch vụ trên các môi trường hệ thống của Trường (quản lý sinh viên, đào tạo, khảo thí, tài chính,…);","• Tham gia xây dựng các phần mềm, công cụ phục vụ công tác quản trị - đào tạo;",• Triển khai thực hiện các nhiệm vụ công việc khác dưới sự phân công.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Hà Nội,,,"Số 84c, Đường Nguyễn Thanh Bình, Phường Vạn Phúc, Quận Hà Đông, TP. Hà Nội.",Bất kỳ,Nhân viên,2025-12-09T16:30:10+07:00,2025-12-09T16:43:40+07:00,2026-01-08T23:59:59+07:00,1766311889.390156,Giáo dục/Đào Tạo,Giáo dục/Đào Tạo,Windows Server,Công Nghệ Thông Tin,Microservices,Docker,CI/CD,,,,,,"Lương cạnh tranh + thưởng năng suất, sẵn sàng thỏa thuận theo năng lực, gói thu nhập năm hấp dẫn",,,Công Nghệ Thông Tin/Viễn Thông,System/Cloud/DevOps Engineer,,,,,,,,,,,,
6947d9dbbd1b5428d8f7206b,1992489,Software Implementation Specialist,https://www.vietnamworks.com/software-implementation-specialist-1992489-jv,FUJIFILM Business Innovation Vietnam,USD,0,0,0,Thương lượng,POSITION OVERVIEW,"Join our dynamic and expanding solution business team as a Solution Implementation Specialist. In this role, you will be responsible for implementing and configuring Complex Software Solutions to FBVN direct customers. This position will work on Enterprise Solution product provided by FBVN, such as eForm, ECM, IDP and RPA (excluding printing solutions).",RESPONSIBILITIES,1.,Implementation & Configuration:,"• Deploy pre-built platform solutions into customer environments (On-Premises or Cloud), including Database engine setup, Database table creation (mostly Microsoft SQL Server), and environment readiness for production.","• Configure solutions using platform features, develop plug-ins or customizations in C#/.NET as required.",2.,Project Delivery,": Deliver projects to customers after sales process, which may involve cross-functional, cross-organizational, and cross-service collaboration, including third parties, following pre-defined System Requirement from BA.",3.,POC management,": Manage and deploy POCs, ensuring quality, timely, and cost-effective delivery.",4.,Customer Interaction,": Work directly with customers in technical discovery sessions, kick-off meetings, UAT workshops, and Go-live activities.",5.,Documentation & Testing,": Complete Training & Handling documentation, conduct formal testing, and ensure a smooth handover to customers.",6.,Risk Management,: Identify and manage risks during implementation and ongoing operations.,7.,Continuous Improvement,: Develop strategies to minimize support calls and improve response and resolution times.,8.,Additional Duties,: Performs other related duties as assigned.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Hồ Chí Minh,,,"19th Floor, The Hallmark Building, 15 Tran Bach Dang, Thu Thiem Ward, Thu Duc City, Ho Chi Minh.",Tiếng Anh,Nhân viên,2025-12-12T15:06:23+07:00,2025-12-12T15:06:46+07:00,2026-01-11T23:59:59+07:00,1766311895.1142716,Phần Mềm CNTT/Dịch vụ Phần mềm,Phần Mềm CNTT/Dịch vụ Phần mềm,C#,.Net,DevOps,JavaScript,Solution Implementation,,,,,,Bonus,Promotion Opportunity,Professional Training,Công Nghệ Thông Tin/Viễn Thông,Phần Mềm Máy Tính,,,,,,,,,,,,
6947d9dbbd1b5428d8f7206c,1993917,"Software Project Leader - Up to 2,500$ - Hybrid Working - Relocation Bonus",https://www.vietnamworks.com/software-project-leader-up-to-2-500-hybrid-working-relocation-bonus-1--1993917-jv,LG Electronics R&D Vietnam,USD,0,0,0,Thương lượng,LG Electronics Development Vietnam (LGEDV) Company focuses on smart & eco-friendly automotive components. The VC Company produces high-quality & state-of-the-art in-car infotainment systems that deliver both information and entertainment on the go for many of the world‘s biggest automobile brands.,"We, LG Electronics Development Vietnam (LGEDV), conduct core R&D activities and various product reliability tests in support of our vehicle component business.","As Software Project Leader of LGEDV Da Nang Office, you will:",• Coordination of SW development activities,• Manage operations related to the delivery of assigned projects,• Project Management,o Discuss plans for assigned projects with HQ based on LGEDV & Vietnam calendar,o Monitor the progress of scheduled activities,o Monitor and control quality of deliverables,o Identify and act on potential problems as early as possible,"o Identify, report and act on risks as early as possible",o Identify and act on conflicts of interest with other areas within or external to the project,o Report progress (and potential delays and issues) to HQ/OEM,• Defect Management,o Supervise Development and maintenance of the heritage of the defect to reinforce platform approach,o Act as SPOC (Single Point Of Contact) for the defect management towards OEM/HQ,o Manage defect calls with OEM/HQ and provide clear minutes and actions,• Software Releases,"o Support the release of each software to all stakeholders and Partners of the LGEDV, supporting them for each difficulty which may be faced during the update.","o Review Software release notes prepared by Functional teams for each release, and make sure it is meeting the required quality",• Customization requirements,o Insert and update settings and customization requirements inside LG databases,o Analyze the impact of CR and lead overall CR development,• Test Coordination,o Collaborate with Validation stakeholders & Certification teams to retest fixed defects,o Review various reports prepared by Validation stakeholders & Certification teams,• Process Alignment,o Improvement for project management to meet A-SPICE requirement,Expected results:,"• Ensure that projects are delivered on time, with the required quality standards within agreed customer requirement specifications",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Cử nhân,Đà Nẵng,,,"The 3rd Floor, Vinh Trung Plaza, 255 Hung Vuong, Hai Chau District, Da Nang City",Tiếng Anh,Nhân viên,2025-12-17T16:03:25+07:00,2025-12-17T16:04:43+07:00,2026-01-16T23:59:59+07:00,1766311900.5213156,Phần Mềm CNTT/Dịch vụ Phần mềm,Phần Mềm CNTT/Dịch vụ Phần mềm,Software Development,Embedded Software,Project Management,Electrical,Mechatronic,,,,,,Attractive and competitive salary package (negotiable upon the interview);\n13th month salary + incentive bonus (total remuneration package up to 16 month’s salary);\nAnnual salary review,"Social insurance contribution based on full gross base salary;\nPremium healthcare and Accident Insurance;\n5 working days/ week: Mon – Fri with flexible working time;\n12 days of annual leave, 8 days of company holidays and 10 days of public holidays",Training opportunities abroad and global working environment,Công Nghệ Thông Tin/Viễn Thông,Phần Mềm Máy Tính,,,,,,,,,,,,
6947d9dbbd1b5428d8f7206d,1986697,[2025_CSANTT]_Chuyên viên Chính sách an ninh thông tin (Kiến trúc an ninh thông tin),https://www.vietnamworks.com/2025_csantt_chuyen-vien-chinh-sach-an-ninh-thong-tin-kien-truc-an-ninh-thong-tin-1986697-jv,Ngân Hàng TMCP Ngoại Thương Việt Nam - Vietcombank,USD,0,0,0,Thương lượng,"***Để đảm bảo hồ sơ được tiếp nhận xử lý, ứng viên cần nộp hồ sơ ứng tuyển trên website tuyển dụng chính thức của Vietcombank tại địa chỉ: https://tuyendung.vietcombank.com.vn",Thời hạn nộp hồ sơ: đến hết ngày 31,/12/2025,I. Mô tả công việc:,1. Xây dựng và quản lý chiến lược về an ninh thông tin trong phạm vi được phân công:,"- Phối hợp với các đơn vị liên quan để đề xuất, xây dựng và rà soát, đề xuất điều chỉnh (nếu cần thiết) chiến lược về an ninh thông tin phù hợp với chiến lược phát triển và định hướng hoạt động kinh doanh của VCB trong từng thời kỳ.","- Theo dõi, giám sát việc thực hiện chiến lược về an ninh thông tin của VCB.","2. Xây dựng, quản lý giải pháp và kiến trúc về an ninh thông tin trong phạm vi được phân công:","- Phối hợp với các đơn vị liên quan xây dựng kế hoạch, thiết kế các giải pháp kiến trúc để đảm bảo an ninh, ATTT cho hệ thống CNTT của VCB.","- Đề xuất xây dựng các quy định, quy trình về kiến trúc ATTT, quản lý tiêu chuẩn kiến trúc ATTT trong từng thời kỳ.","- Phối hợp đánh giá kiến trúc bảo mật ATTT, đảm bảo an toàn cho các dự án/hệ thống CNTT được triển khai, vận hành tuân thủ kiến trúc ATTT của VCB.","3. Tham gia các lớp đào tạo, tập huấn nghiệp vụ theo kế hoạch của Phòng và VCB.",4. Thực hiện các nhiệm vụ khác do Lãnh đạo phòng giao.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Cử nhân,Hà Nội,,,"198 Trần Quang Khải, Phường Lý Thái Tổ, Quận Hoàn Kiếm, Hà Nội",Bất kỳ,Nhân viên,2025-11-27T15:56:10+07:00,2025-11-27T15:57:39+07:00,2025-12-27T23:59:59+07:00,1766311907.1624813,Ngân hàng,Ngân hàng,An Ninh Mạng,An Toàn Thông Tin,Bảo Mật Hệ Thống,CNTT,System Security Management,,,,,,Theo quy định của Ngân hàng,,,Công Nghệ Thông Tin/Viễn Thông,Bảo Mật Công Nghệ Thông Tin,,,,,,,,,,,,
6947d9dbbd1b5428d8f7206e,1986604,Software Project Leader - Project Manager (Quantity: 01),https://www.vietnamworks.com/software-project-leader-project-manager-quantity-01--1986604-jv,LG Electronics R&D Vietnam,USD,2500,0,2500,"Tới $ 2,500 /tháng",RnR (by Domain Leader),- Supervise the development and maintenance of the heritage of the defect to reinforce the platform approach,"- Coordination of SW development activities with SW Development, validation, and all relevant stakeholders and partners of LGEDV",- Performs communication with customers regarding Automotive Electric and Electronic Equipment Software Development.,- Monitor the progress of scheduled activities and control the quality of deliverables,- Identify and act on potential problems/risks/conflicts of interest with other areas within or external to the project as early as possible,- Monitor and review the release note of development contributors and ensure quality perspectives,- Improvement for project management to meet A-SPICE requirement,"- Report project status, follow up to solve occurring risks/ issues, and prevent recurrences.","- Perform planning, execution management, and governance tasks for the entire development and testing of automotive electrical and electronic equipment SW for vehicles based on the V model.", External Competencies and Qualification (by Domain Leader),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mức độ phù hợp và xếp hạng của bạn so với ứng viên khác như thế nào?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Cử nhân,Hà Nội,,,"Tòa Lotte Mall 272 Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",Tiếng Anh,Trưởng phòng,2025-11-27T15:00:34+07:00,2025-11-27T15:03:10+07:00,2025-12-27T23:59:59+07:00,1766311913.1529865,Sản xuất,Sản xuất,English,Automotive,Project Improvement,Project Management,Electronic,,,,,,Attractive and competitive salary package (negotiable upon the interview);\r\n13th month salary + incentive bonus (total remuneration package up to 16 month’s salary);\r\nAnnual salary review,"Social insurance contribution based on full gross base salary;\r\nPremium healthcare and Accident Insurance;\r\n5 working days/ week: Mon – Fri with flexible working time;\r\n12 days of annual leave, 8 days of company holidays and 10 days of public holidays",Training opportunities abroad and global working environment,Công Nghệ Thông Tin/Viễn Thông,Quản Lý Dự Án Công Nghệ,,,,,,,,,,,,
